msg_index, msg_priority, msg_type, msg_start_time(ts), msg_success_send
363, 4, b, 1700642765.804393762, 1
364, 4, b, 1700642765.839460754, 1
365, 4, b, 1700642765.874405722, 1
366, 4, b, 1700642765.910223884, 1
367, 4, b, 1700642765.945512701, 1
368, 4, b, 1700642765.980452336, 1
369, 4, b, 1700642766.15351500, 1
370, 4, b, 1700642766.49894030, 1
371, 4, b, 1700642766.84757309, 1
372, 4, b, 1700642766.119766335, 1
373, 4, b, 1700642766.154873769, 1
374, 4, b, 1700642766.189365980, 1
375, 4, b, 1700642766.223867779, 1
376, 4, b, 1700642766.258519106, 1
377, 4, b, 1700642766.293152846, 1
378, 4, b, 1700642766.327854679, 1
379, 4, b, 1700642766.362519019, 1
380, 4, b, 1700642766.397218128, 1
381, 4, b, 1700642766.432061779, 1
382, 4, b, 1700642766.466930835, 1
383, 4, b, 1700642766.501753363, 1
384, 4, b, 1700642766.536437490, 1
385, 4, b, 1700642766.571062847, 1
386, 4, b, 1700642766.605705920, 1
387, 4, b, 1700642766.640466736, 1
388, 4, b, 1700642766.675187715, 1
389, 4, b, 1700642766.709670922, 1
390, 4, b, 1700642766.744408194, 1
391, 4, b, 1700642766.778935182, 1
392, 4, b, 1700642766.813529690, 1
393, 4, b, 1700642766.848162186, 1
394, 4, b, 1700642766.882957568, 1
395, 4, b, 1700642766.917550454, 1
396, 4, b, 1700642766.952279690, 1
397, 4, b, 1700642766.986966142, 1
398, 4, b, 1700642767.21536720, 1
399, 4, b, 1700642767.56331746, 1
400, 4, b, 1700642767.91014450, 1
401, 4, b, 1700642767.125599347, 1
402, 4, b, 1700642767.160336648, 1
403, 4, b, 1700642767.195302268, 1
404, 4, b, 1700642767.230245116, 1
405, 4, b, 1700642767.265137652, 1
406, 4, b, 1700642767.299607384, 1
407, 4, b, 1700642767.334438808, 1
408, 4, b, 1700642767.370216169, 1
409, 4, b, 1700642767.405529978, 1
410, 4, b, 1700642767.440703167, 1
411, 4, b, 1700642767.475541697, 1
412, 4, b, 1700642767.510136275, 1
413, 4, b, 1700642767.545196395, 1
414, 4, b, 1700642767.580593003, 1
415, 4, b, 1700642767.615728603, 1
416, 4, b, 1700642767.651241620, 1
417, 4, b, 1700642767.686481002, 1
418, 4, b, 1700642767.722240001, 1
419, 4, b, 1700642767.756539655, 1
420, 4, b, 1700642767.790912946, 1
421, 4, b, 1700642767.826415349, 1
422, 4, b, 1700642767.861242508, 1
423, 4, b, 1700642767.895877494, 1
424, 4, b, 1700642767.930463318, 1
425, 4, b, 1700642767.965168400, 1
426, 4, b, 1700642767.999742084, 1
427, 4, b, 1700642768.34223078, 1
428, 4, b, 1700642768.69352726, 1
429, 4, b, 1700642768.104213504, 1
430, 4, b, 1700642768.139231031, 1
431, 4, b, 1700642768.174363654, 1
432, 4, b, 1700642768.209555724, 1
433, 4, b, 1700642768.244509713, 1
434, 4, b, 1700642768.279051796, 1
435, 4, b, 1700642768.313694398, 1
436, 4, b, 1700642768.348435659, 1
437, 4, b, 1700642768.383098382, 1
438, 4, b, 1700642768.417792737, 1
439, 4, b, 1700642768.452437719, 1
440, 4, b, 1700642768.487088467, 1
441, 4, b, 1700642768.521858375, 1
442, 4, b, 1700642768.556759414, 1
443, 4, b, 1700642768.591928717, 1
444, 4, b, 1700642768.627006618, 1
445, 4, b, 1700642768.662308535, 1
446, 4, b, 1700642768.697852404, 1
447, 4, b, 1700642768.733259532, 1
448, 4, b, 1700642768.767847999, 1
449, 4, b, 1700642768.802871702, 1
450, 4, b, 1700642768.837531207, 1
451, 4, b, 1700642768.872092950, 1
452, 4, b, 1700642768.906600407, 1
453, 4, b, 1700642768.941401450, 1
454, 4, b, 1700642768.976873399, 1
455, 4, b, 1700642769.11848103, 1
456, 4, b, 1700642769.46749976, 1
457, 4, b, 1700642769.81693130, 1
458, 4, b, 1700642769.116967835, 1
