receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
2944, 821, b, 4, 1700669966.961554685, 1700669966.989490770,27936085
2945, 799, a, 6, 1700669966.955648034, 1700669967.3666183,48018149
2946, 878, d, 0, 1700669966.996874581, 1700669967.17248132,20373551
2947, 822, b, 4, 1700669966.997072193, 1700669967.25304810,28232617
2948, 800, a, 6, 1700669966.996599278, 1700669967.38386689,41787411
2949, 879, d, 0, 1700669967.31542908, 1700669967.52471350,20928442
2950, 830, c, 2, 1700669967.9272026, 1700669967.66194215,56922189
2951, 823, b, 4, 1700669967.31791623, 1700669967.80618345,48826722
2952, 880, d, 0, 1700669967.66227586, 1700669967.93588839,27361253
2953, 831, c, 2, 1700669967.50949364, 1700669967.107369480,56420116
2954, 881, d, 0, 1700669967.100673566, 1700669967.118226528,17552962
2955, 832, c, 2, 1700669967.99180780, 1700669967.123996041,24815261
2956, 825, b, 4, 1700669967.113052753, 1700669967.132856046,19803293
2957, 803, a, 6, 1700669967.116469571, 1700669967.144591736,28122165
2958, 882, d, 0, 1700669967.135022768, 1700669967.148844805,13822037
2959, 833, c, 2, 1700669967.140221420, 1700669967.158409000,18187580
2960, 826, b, 4, 1700669967.152866649, 1700669967.171710896,18844247
2961, 883, d, 0, 1700669967.169578006, 1700669967.182437198,12859192
2962, 804, a, 6, 1700669967.152358058, 1700669967.189916890,37558832
2963, 834, c, 2, 1700669967.174741515, 1700669967.193662539,18921024
2964, 827, b, 4, 1700669967.187380003, 1700669967.196839078,9459075
2965, 805, a, 6, 1700669967.186902732, 1700669967.205576531,18673799
2966, 884, d, 0, 1700669967.204160343, 1700669967.207993678,3833335
2967, 835, c, 2, 1700669967.209120110, 1700669967.223735964,14615854
2968, 828, b, 4, 1700669967.221935667, 1700669967.228732715,6797048
2969, 806, a, 6, 1700669967.223506869, 1700669967.231835688,8328819
2970, 885, d, 0, 1700669967.238730552, 1700669967.253029374,14298822
2971, 836, c, 2, 1700669967.243730876, 1700669967.260760419,17029543
2972, 829, b, 4, 1700669967.256478491, 1700669967.269222617,12744126
2973, 807, a, 6, 1700669967.257995470, 1700669967.277183747,19188277
2974, 886, d, 0, 1700669967.273369014, 1700669967.286334697,12965683
2975, 837, c, 2, 1700669967.278222754, 1700669967.299668757,21446003
2976, 830, b, 4, 1700669967.290854537, 1700669967.303330963,12476426
2977, 808, a, 6, 1700669967.292470420, 1700669967.307465645,14995225
2978, 887, d, 0, 1700669967.307968388, 1700669967.320959635,12991247
2979, 838, c, 2, 1700669967.312626103, 1700669967.325652938,13026835
2980, 831, b, 4, 1700669967.325446386, 1700669967.333845454,8399068
2981, 809, a, 6, 1700669967.327234330, 1700669967.347155762,19921432
2982, 888, d, 0, 1700669967.342535983, 1700669967.360527474,17991491
