receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
382, 117, a, 6, 1700645328.608178657, 1700645328.617669396,9490739
383, 117, b, 4, 1700645328.609654399, 1700645328.619371237,9716838
384, 117, d, 0, 1700645328.630607643, 1700645328.632279170,1671527
385, 117, c, 2, 1700645328.631028959, 1700645328.633439121,2410162
386, 118, a, 6, 1700645328.642756677, 1700645328.653147335,10390658
387, 118, b, 4, 1700645328.644068475, 1700645328.657974212,13905737
388, 118, d, 0, 1700645328.665313938, 1700645328.670234551,4920613
389, 118, c, 2, 1700645328.665497011, 1700645328.673448968,7951957
390, 119, a, 6, 1700645328.677423849, 1700645328.685714240,8290391
391, 119, b, 4, 1700645328.678591705, 1700645328.686744657,8152952
392, 119, d, 0, 1700645328.700187902, 1700645328.706034017,5846115
393, 119, c, 2, 1700645328.700736226, 1700645328.710625537,9889311
394, 120, a, 6, 1700645328.712027442, 1700645328.722239051,10211609
395, 120, b, 4, 1700645328.713071641, 1700645328.723335795,10264154
396, 120, d, 0, 1700645328.735083301, 1700645328.739984874,4901573
397, 120, c, 2, 1700645328.735292307, 1700645328.742219476,6927169
398, 121, a, 6, 1700645328.746465710, 1700645328.758669861,12204151
399, 121, b, 4, 1700645328.748978652, 1700645328.762488872,13510220
400, 121, d, 0, 1700645328.769762760, 1700645328.772612455,2849695
401, 121, c, 2, 1700645328.770004054, 1700645328.776033404,6029350
402, 122, a, 6, 1700645328.781166997, 1700645328.789671501,8504504
403, 122, b, 4, 1700645328.783271073, 1700645328.790400624,7129551
404, 122, d, 0, 1700645328.804294741, 1700645328.806733522,2438781
405, 122, c, 2, 1700645328.804516785, 1700645328.807551326,3034541
406, 123, a, 6, 1700645328.815761596, 1700645328.826757516,10995920
407, 123, b, 4, 1700645328.817618697, 1700645328.829017786,11399089
408, 123, d, 0, 1700645328.839088884, 1700645328.841509532,2420648
409, 123, c, 2, 1700645328.839429781, 1700645328.845202110,5772329
410, 124, a, 6, 1700645328.851333150, 1700645328.858773682,7440532
411, 124, b, 4, 1700645328.851862807, 1700645328.861186707,9323900
412, 124, d, 0, 1700645328.873665342, 1700645328.877536247,3870905
413, 124, c, 2, 1700645328.873965979, 1700645328.881638757,7672778
414, 125, a, 6, 1700645328.885860986, 1700645328.897907975,12046989
415, 125, b, 4, 1700645328.887055322, 1700645328.900257713,13202391
